AREA_NAME_EN,STATUS_CODE,PRE_REGISTRATION_NUMBER,PROJECT_NAME_EN,MASTER_PROJECT_EN,LAND_TYPE_EN,STATUS_CODE_EN,PROCEDURE_NAME_EN,CREATION_week_category,CREATION_year_category,CREATION_day_name,CREATION_after_min_date,CREATION_hour_category,CREATION_month_name,CURRENT_STATUS_week_category,CURRENT_STATUS_year_category,CURRENT_STATUS_day_name,CURRENT_STATUS_after_min_date,CURRENT_STATUS_hour_category,CURRENT_STATUS_month_name,INSTANCE_DATE_week_category,INSTANCE_DATE_year_category,INSTANCE_DATE_day_name,INSTANCE_DATE_after_min_date,INSTANCE_DATE_month_name,PROCEDURE_DATE_week_category,PROCEDURE_DATE_day_name,PROCEDURE_DATE_after_min_date,PROCEDURE_DATE_month_name,PROCEDURE_YEAR_str,SEPARATED_REFERENCE_str,CREATION_year_after_min_year_str,MUNC_ZIP_CODE_str,SEPARATED_FROM_str,PRE_REGISTRATION_NUMBER_first_portion,CURRENT_STATUS_year_after_min_year,SEPARATED_REFERENCE,INSTANCE_DATE_day_normalized,INSTANCE_DATE_year_after_min_year,tree_3,PROCEDURE_AREA,CREATION_year_after_min_year,PROCEDURE_NUMBER,MUNC_NUMBER,MUNC_ZIP_CODE,ACTUAL_WORTH
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""8""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Monday,539,July,29,Saturday,559,July,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.806451612903226,1,5,-0.0513494373077203,3,0.24979942630705604,0.65766531394865,-0.18655993111095898,4196888.0
Jumeirah First,VACANT,Unknown,Unknown,Unknown,Commercial,Vacant,Sell,25,"""2013""",Wednesday,Rare cases,"""8""",June,Rare cases,Rare cases,Rare cases,Rare cases,12,Rare cases,25,"""2018""",Thursday,Rare cases,June,25,Thursday,Rare cases,June,"""2018.0""",253306.0,"""0""",332.0,253306.0,Unknown,11.0,-0.26481769939980804,0.67741935483871,3,6,0.0994248395808133,0,1.57091127694631,-0.374051542329096,-1.91899971783021,5112410.0
Wadi Al Safa 7,PREMISED,Rare cases,ARABIAN RANCHES - SAMARA COMMUNITY,558 Villa,Residential,Existing Building,Delayed Sell,28,"""2014""",Tuesday,552,"""13""",July,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,6,"""2019""",Tuesday,Rare cases,February,13,Sunday,Rare cases,April,"""2019.0""",90787.0,"""1""",665.0,12206039.0,SAMARA,7.0,-0.320149281494146,0.161290322580645,4,5,-0.0543204691725313,1,-1.3936421946288502,0.38706836221686797,0.0104399108571162,4821888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,6,"""2016""",Sunday,Rare cases,"""9""",February,48,2011,Sunday,2589,11,December,17,"""2016""",Sunday,454,May,7,Sunday,406,February,"""2016.0""",312590.0,"""3""",631.0,27901809.0,SIDRA,7.0,-0.24463373621469897,0.032258064516129,1,5,-0.0234011656562019,3,-0.402686026766901,-0.7170188101503929,-0.18655993111095898,4869888.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,12,"""2018""",Thursday,Rare cases,March,52,Wednesday,Rare cases,December,"""2018.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.7096774193548392,3,4,-0.0930601606280471,4,-1.21315708804392,0.6313914876860071,1.4647622736214299,1372000.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""11""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Wednesday,541,July,20,Monday,Rare cases,May,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.870967741935484,1,5,-0.0314749782903294,3,0.29675490119093895,0.817184973400416,-0.18655993111095898,5019888.0
Hadaeq Sheikh Mohammed Bin Rashid,VACANT,Rare cases,SIDRA,Unknown,Residential,Vacant,Delayed Sell,29,"""2016""",Monday,1292,"""8""",July,48,2011,Sunday,2589,11,December,30,"""2016""",Wednesday,541,July,18,Tuesday,Rare cases,May,"""2016.0""",312590.0,"""3""",631.0,27896331.0,SIDRA,7.0,-0.24463373621469897,0.870967741935484,1,5,-0.0301601513436344,3,0.28697251059013,0.6820624383353909,-0.18655993111095898,4862888.0
Wadi Al Safa 7,PREMISED,Rare cases,ARABIAN RANCHES - SAMARA COMMUNITY,558 Villa,Residential,Existing Building,Delayed Sell,28,"""2014""",Monday,550,"""10""",July,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,26,"""2019""",Wednesday,Rare cases,June,51,Saturday,Rare cases,December,"""2019.0""",90787.0,"""1""",665.0,12206039.0,SAMARA,6.75,-0.320149281494146,0.8387096774193549,4,5,-0.054235497363051,1,-0.611540066094173,0.574621255939937,0.0104399108571162,5100888.0
Al Yufrah 2,VACANT,Rare cases,AQUILEGIA @ AKOYA OXYGEN,Dubai Tiger Woods,Residential,Vacant,Delayed Sell,34,"""2017""",Wednesday,1693,"""8""",August,45,2004,Monday,0,9,November,Rare cases,"""2019""",Wednesday,Rare cases,September,Rare cases,Wednesday,Rare cases,January,"""2019.0""",90787.0,"""4""",916.0,136234873.0,AKOYA,0.0,-0.320149281494146,0.129032258064516,4,4,-0.0841664445691097,4,0.050727777580594,0.6313914876860071,1.4647622736214299,1861000.0
Island 2,PREMISED,Rare cases,BV Mansions ,Unknown,Commercial,Existing Building,Delayed Sell,9,"""2019""",Wednesday,2246,"""9""",February,Unknown,Unknown,Unknown,NaT,Unknown,Unknown,12,"""2020""",Thursday,Rare cases,March,12,Thursday,Rare cases,March,"""2020.0""",11459115.0,"""6""",302.0,21089085.0,BRM,12.75,3.5503370862989403,0.6129032258064521,5,10,0.161686814927374,6,-0.5303462241074579,-1.8073826000501103,-2.09282310780204,42800000.0
